sibid,childid,round,theta_eap,ppvt_score,yc,country,group,language
15,ET020062,3,1.108340025,3.615758419,1,1,4,1
15,ET020062,4,1.459509969,4.180127621,1,1,5,1
15,ET020062,5,1.559219956,4.340372562,1,1,6,1
3,ET020065,3,1.094169974,3.59298563,1,1,4,1
5,ET020071,3,0.396447003,2.471667528,1,1,4,1
15,ET020075,3,0.332540005,2.368961811,1,1,4,1
15,ET020075,4,1.294100046,3.914295435,1,1,5,1
6,ET020078,3,0.946792006,3.356132984,1,1,4,1
8,ET020081,4,0.410917997,2.49492383,1,1,5,1
8,ET020081,5,1.240560055,3.828250647,1,1,6,1
5,ET020083,3,-0.875828981,0.426978856,1,1,4,1
5,ET020083,4,0.794099987,3.110739946,1,1,5,1
5,ET020083,5,1.833809972,4.78166914,1,1,6,1
3,ET020084,3,1.391890049,4.071455002,1,1,4,1
3,ET020088,3,0.299652994,2.316108704,1,1,4,1
16,ET020089,3,-0.181696996,1.542525887,1,1,4,1
3,ET020090,3,0.601230979,2.800777912,1,1,4,1
4,ET020091,3,0.743722975,3.029778481,1,1,4,1
15,ET020092,3,0.844868004,3.192329645,1,1,4,1
15,ET020092,4,1.470659971,4.198046684,1,1,5,1
15,ET020092,5,1.36342001,4.025700092,1,1,6,1
7,ET020094,3,1.317710042,3.952239275,1,1,4,1
15,ET020095,3,0.462177992,2.577304363,1,1,4,1
15,ET020095,4,0.935995996,3.338782549,1,1,5,1
15,ET020095,5,0.750755012,3.04107976,1,1,6,1
15,ET020097,3,0.804912984,3.128117561,1,1,4,1
15,ET020097,4,1.398699999,4.082399368,1,1,5,1
15,ET020097,5,1.80072999,4.728506088,1,1,6,1
9,ET020098,3,1.338860035,3.986229658,1,1,4,1
9,ET020099,3,-1.094779968,0.07510034,1,1,4,1
9,ET020099,4,0.64515698,2.871371984,1,1,5,1
3,ET030001,3,-0.260771006,1.415445209,1,1,4,1
3,ET030001,4,-0.238048002,1.451963663,1,1,5,1
3,ET030001,5,0.509968996,2.654109955,1,1,6,1
5,ET030002,3,1.407279968,4.096188068,1,1,4,1
5,ET030004,3,0.887444973,3.260755539,1,1,4,1
5,ET030004,4,1.035079956,3.498021364,1,1,5,1
5,ET030004,5,1.252799988,3.84792161,1,1,6,1
9,ET030005,3,-1.13270998,0.014142608,1,1,4,1
9,ET030005,4,0.801846027,3.123188734,1,1,5,1
9,ET030005,5,1.003489971,3.44725275,1,1,6,1
4,ET030006,3,1.447829962,4.161356449,1,1,4,1
16,ET030007,3,-2.52241993,-2.219275475,1,1,4,1
16,ET030007,4,0.421833009,2.512465477,1,1,5,1
16,ET030007,5,0.339471996,2.380102396,1,1,6,1
15,ET030008,3,0.41179499,2.496333361,1,1,4,1
15,ET030008,4,1.161129951,3.700597763,1,1,5,1
3,ET030010,3,1.675510049,4.527263641,1,1,4,1
5,ET030013,3,0.969354987,3.392394066,1,1,4,1
5,ET030013,4,2.263089895,5.471569538,1,1,5,1
5,ET030013,5,1.547000051,4.320733547,1,1,6,1
15,ET030014,3,1.464079976,4.187471867,1,1,4,1
15,ET030014,4,2.159159899,5.304542542,1,1,5,1
15,ET030014,5,2.160929918,5.307387352,1,1,6,1
3,ET030018,3,0.868604004,3.230476141,1,1,4,1
3,ET030018,4,1.191890001,3.750032663,1,1,5,1
3,ET030018,5,0.779739976,3.087661743,1,1,6,1
3,ET030019,3,1.289510012,3.906918764,1,1,4,1
5,ET030020,3,-0.693009019,0.720790803,1,1,4,1
5,ET030020,4,0.802201986,3.1237607,1,1,5,1
5,ET030020,5,0.684846997,2.935158253,1,1,6,1
6,ET030023,4,1.082409978,3.574085951,1,1,5,1
6,ET030023,5,1.88259995,4.860080242,1,1,6,1
3,ET030024,3,1.250049949,3.843502045,1,1,4,1
3,ET030024,4,2.163379908,5.311324596,1,1,5,1
3,ET030024,5,2.258569956,5.464305401,1,1,6,1
15,ET030025,3,1.553110003,4.330553055,1,1,4,1
15,ET030025,4,1.470780015,4.198239803,1,1,5,1
15,ET030025,5,2.434819937,5.747558594,1,1,6,1
6,ET030026,3,0.217179,2.183563948,1,1,4,1
6,ET030026,4,0.576224983,2.760590553,1,1,5,1
6,ET030026,5,1.223150015,3.800270796,1,1,6,1
3,ET030027,3,1.442029953,4.152035236,1,1,4,1
16,ET030028,3,-0.845238984,0.47614038,1,1,4,1
16,ET030028,4,0.401924998,2.480471134,1,1,5,1
16,ET030028,5,0.882561982,3.25290823,1,1,6,1
15,ET030029,3,0.453815013,2.563864231,1,1,4,1
15,ET030029,4,1.528180003,4.290487766,1,1,5,1
15,ET030029,5,1.29042995,3.908397198,1,1,6,1
4,ET030031,3,-0.28183201,1.381597877,1,1,4,1
3,ET030032,3,1.447139978,4.160247326,1,1,4,1
6,ET030035,3,0.067317002,1.942718983,1,1,4,1
6,ET030035,4,0.810778022,3.13754344,1,1,5,1
6,ET030035,5,1.413120031,4.105573654,1,1,6,1
16,ET030036,3,-1.003630042,0.221588388,1,1,4,1
16,ET030036,4,0.56012398,2.734714508,1,1,5,1
16,ET030036,5,0.791126013,3.105960369,1,1,6,1
5,ET030037,3,-0.653730989,0.783914983,1,1,4,1
5,ET030037,4,0.262975991,2.257164717,1,1,5,1
5,ET030037,5,0.778946996,3.086387396,1,1,6,1
4,ET030038,3,1.292709947,3.912061453,1,1,4,1
4,ET030038,4,1.261919975,3.862578392,1,1,5,1
4,ET030038,5,2.084559917,5.184651852,1,1,6,1
16,ET030041,3,-2.14786005,-1.617316127,1,1,4,1
16,ET030041,4,-0.607869029,0.857620239,1,1,5,1
16,ET030041,5,2.290159941,5.515074253,1,1,6,1
15,ET030043,3,0.538109004,2.699333906,1,1,4,1
15,ET030043,4,1.344550014,3.995374203,1,1,5,1
15,ET030043,5,1.326030016,3.965610504,1,1,6,1
4,ET030044,3,-0.746877015,0.634218991,1,1,4,1
4,ET030044,4,1.141270041,3.668680668,1,1,5,1
4,ET030044,5,2.186680079,5.348770618,1,1,6,1
5,ET030048,3,0.624455988,2.838103056,1,1,4,1
4,ET030053,3,-0.188002005,1.532393098,1,1,4,1
4,ET030053,4,0.957367003,3.373128176,1,1,5,1
4,ET030053,5,1.261440039,3.861807108,1,1,6,1
3,ET030055,3,-0.604043007,0.863769054,1,1,4,1
3,ET030055,4,0.030297199,1.88322413,1,1,5,1
3,ET030055,5,0.798407972,3.117663383,1,1,6,1
6,ET030056,3,0.444680005,2.54918313,1,1,4,1
6,ET030056,4,0.984360993,3.416510344,1,1,5,1
6,ET030056,5,0.57882601,2.764770746,1,1,6,1
3,ET030057,3,0.706243992,2.969545603,1,1,4,1
3,ET030058,3,1.471899986,4.200039864,1,1,4,1
15,ET030059,3,0.312137008,2.336171865,1,1,4,1
15,ET030059,4,1.681110024,4.536263466,1,1,5,1
15,ET030059,5,1.153710008,3.688673019,1,1,6,1
5,ET030060,3,0.00880786,1.848688364,1,1,4,1
16,ET030061,3,-0.640453994,0.805252552,1,1,4,1
16,ET030061,4,0.896072984,3.274621725,1,1,5,1
16,ET030061,5,0.914466023,3.304181337,1,1,6,1
15,ET030068,3,0.860762,3.217873096,1,1,4,1
15,ET030068,4,1.345479965,3.99686861,1,1,5,1
15,ET030068,5,2.204780102,5.377859116,1,1,6,1
15,ET030069,3,-0.366183996,1.246034861,1,1,4,1
15,ET030069,4,1.035339952,3.498439312,1,1,5,1
15,ET030069,5,0.699175,2.958184958,1,1,6,1
15,ET030070,3,1.680490017,4.535266876,1,1,4,1
15,ET030070,4,1.628020048,4.450942039,1,1,5,1
15,ET030070,5,1.940600038,4.95329237,1,1,6,1
5,ET030072,3,0.463687003,2.579729557,1,1,4,1
5,ET030072,4,0.984596014,3.416888237,1,1,5,1
15,ET030075,3,1.391469955,4.0707798,1,1,4,1
15,ET030075,4,1.077810049,3.566693306,1,1,5,1
3,ET030077,3,-0.646897972,0.794896364,1,1,4,1
3,ET030077,4,0.691295981,2.945522547,1,1,5,1
3,ET030077,5,1.352020025,4.007379055,1,1,6,1
6,ET030079,3,1.175480008,3.723659754,1,1,4,1
3,ET030080,3,1.448809981,4.162931442,1,1,4,1
3,ET030080,4,1.939800024,4.952006817,1,1,5,1
7,ET030081,3,1.376860023,4.047299862,1,1,4,1
3,ET030082,3,1.266170025,3.869408846,1,1,4,1
10,ET030083,3,-0.840803981,0.483267903,1,1,4,1
10,ET030083,4,0.435045987,2.533700228,1,1,5,1
10,ET030083,5,0.389979005,2.461272717,1,1,6,1
6,ET030084,3,1.351109982,4.005916595,1,1,4,1
5,ET030086,3,0.893280983,3.270134687,1,1,4,1
5,ET030086,4,0.941581011,3.347758293,1,1,5,1
5,ET030086,5,1.225659966,3.8043046,1,1,6,1
6,ET030087,3,1.44757998,4.160954475,1,1,4,1
4,ET030089,3,1.097740054,3.598723173,1,1,4,1
5,ET030090,3,0.468286008,2.587120771,1,1,4,1
5,ET030090,4,1.138389945,3.66405201,1,1,5,1
5,ET030090,5,1.454970002,4.172831059,1,1,6,1
15,ET030091,3,0.320529997,2.349660397,1,1,4,1
15,ET030091,4,0.814212024,3.143062115,1,1,5,1
15,ET030091,5,1.26730001,3.87122488,1,1,6,1
16,ET030093,3,-0.418624997,1.161756396,1,1,4,1
16,ET030093,4,0.317862004,2.345372677,1,1,5,1
16,ET030093,5,1.22953999,3.810540199,1,1,6,1
3,ET030094,3,1.315440059,3.948591232,1,1,4,1
5,ET030095,3,0.677066982,2.922654867,1,1,4,1
6,ET030097,3,0.863099992,3.221630573,1,1,4,1
5,ET030100,3,1.387879968,4.065010071,1,1,4,1
4,ET040001,3,-0.449517012,1.112109423,1,1,4,1
4,ET040001,4,-0.573652029,0.91261071,1,1,5,1
6,ET040002,3,-1.641190052,-0.803041279,1,1,4,1
6,ET040002,4,0.855493009,3.209405184,1,1,5,1
6,ET040002,5,0.845022023,3.192577124,1,1,6,1
15,ET040004,3,0.915190995,3.305346489,1,1,4,1
15,ET040004,4,1.144649982,3.674112558,1,1,5,1
15,ET040004,5,1.602399945,4.409767628,1,1,6,1
15,ET040005,3,1.309389949,3.938868046,1,1,4,1
15,ET040005,4,1.39072001,4.069574356,1,1,5,1
15,ET040005,5,1.248659968,3.841268063,1,1,6,1
15,ET040006,3,0.087669298,1.975427389,1,1,4,1
15,ET040006,4,0.531897008,2.689350605,1,1,5,1
15,ET040006,5,0.819554985,3.151648998,1,1,6,1
16,ET040009,3,-2.34559989,-1.93510592,1,1,4,1
4,ET040010,3,-1.399270058,-0.414249003,1,1,4,1
4,ET040010,4,0.119452998,2.026507378,1,1,5,1
4,ET040010,5,0.049272399,1.913719416,1,1,6,1
16,ET040012,3,-1.89391005,-1.209190369,1,1,4,1
16,ET040012,4,-0.0722977,1.718342781,1,1,5,1
5,ET040013,3,0.634562016,2.854344606,1,1,4,1
15,ET040014,3,0.103917003,2.00153923,1,1,4,1
15,ET040014,4,0.513466001,2.659729958,1,1,5,1
15,ET040015,3,0.878706992,3.246712685,1,1,4,1
15,ET040015,4,0.942375004,3.349034309,1,1,5,1
15,ET040016,3,0.307076007,2.328038454,1,1,4,1
15,ET040016,4,0.876411974,3.243024349,1,1,5,1
3,ET040017,3,0.276903003,2.279546976,1,1,4,1
3,ET040017,4,0.726706028,3.002430201,1,1,5,1
3,ET040018,3,-1.123929977,0.028253045,1,1,4,1
3,ET040018,4,0.299585015,2.315999508,1,1,5,1
3,ET040018,5,-0.511352003,1.012733817,1,1,6,1
16,ET040020,3,-1.092239976,0.079182394,1,1,4,1
16,ET040020,4,-0.45155099,1.108840585,1,1,5,1
16,ET040020,5,0.452151,2.56118989,1,1,6,1
3,ET040021,3,0.807233989,3.13184762,1,1,4,1
3,ET040021,4,0.014874,1.8584373,1,1,5,1
3,ET040021,5,1.034160018,3.496542931,1,1,6,1
4,ET040023,3,-0.508807003,1.016823888,1,1,4,1
4,ET040023,4,-0.052680101,1.74987042,1,1,5,1
4,ET040023,5,1.230730057,3.812452793,1,1,6,1
4,ET040024,3,1.068130016,3.551136494,1,1,4,1
15,ET040025,3,0.229423001,2.203241348,1,1,4,1
15,ET040025,4,0.556362987,2.72867012,1,1,5,1
15,ET040025,5,1.384580016,4.059706688,1,1,6,1
2,ET040026,3,1.386080027,4.062117577,1,1,4,1
4,ET040028,3,-0.964574993,0.28435418,1,1,4,1
4,ET040028,4,0.070176996,1.947315335,1,1,5,1
4,ET040028,5,0.749571025,3.039176941,1,1,6,1
15,ET040029,3,0.459336013,2.572736979,1,1,4,1
15,ET040029,4,1.02523005,3.482191563,1,1,5,1
15,ET040029,5,2.191349983,5.356275558,1,1,6,1
16,ET040031,3,-0.395987004,1.198138118,1,1,4,1
16,ET040031,4,1.18125999,3.732949018,1,1,5,1
16,ET040031,5,1.545330048,4.318049908,1,1,6,1
4,ET040032,3,-1.04053998,0.162270024,1,1,4,1
4,ET040032,4,0.778607011,3.08584094,1,1,5,1
4,ET040032,5,2.104860067,5.217276573,1,1,6,1
15,ET040034,3,0.784027994,3.094552994,1,1,4,1
5,ET040036,3,-0.343466997,1.28254354,1,1,4,1
5,ET040036,4,0.36380899,2.419214487,1,1,5,1
5,ET040036,5,0.213979006,2.178421021,1,1,6,1
4,ET040037,3,-3.030669928,-3.03608942,1,1,4,1
4,ET040037,4,0.216913998,2.183137894,1,1,5,1
4,ET040037,5,-0.097064398,1.678539872,1,1,6,1
3,ET040038,3,0.819162011,3.151017427,1,1,4,1
16,ET040039,3,-0.626142979,0.828251958,1,1,4,1
16,ET040039,4,0.674534023,2.918584108,1,1,5,1
16,ET040039,5,1.736250043,4.62487936,1,1,6,1
7,ET040040,3,1.350469947,4.004888058,1,1,4,1
16,ET040041,3,-1.217949986,-0.122847535,1,1,4,1
