childid,country,round,yc,math,group
ET121028,1,2,0,466.8106995,1
ET121029,1,2,0,583.8427734,1
ET121030,1,2,0,455.7132263,1
ET121031,1,2,0,490.5571289,1
ET121032,1,2,0,418.8448486,1
ET121033,1,2,0,518.1243896,1
ET121034,1,2,0,239.3450317,1
ET121036,1,2,0,322.0743713,1
ET121037,1,2,0,506.8969421,1
ET121038,1,2,0,427.3312378,1
ET121039,1,2,0,374.0741882,1
ET121040,1,2,0,493.711853,1
ET121041,1,2,0,465.6421509,1
ET121043,1,2,0,555.5297852,1
ET121044,1,2,0,541.9432983,1
ET121046,1,2,0,551.069519,1
ET121047,1,2,0,426.5719604,1
ET121048,1,2,0,540.6959839,1
ET121049,1,2,0,484.9301758,1
ET121050,1,2,0,484.3172913,1
ET121053,1,2,0,473.1512146,1
ET121054,1,2,0,465.2846069,1
ET121055,1,2,0,308.8433533,1
ET121056,1,2,0,731.6099854,1
ET121057,1,2,0,336.6210022,1
ET131001,1,2,0,380.2448425,1
ET131004,1,2,0,474.2814331,1
ET131005,1,2,0,598.038269,1
ET131007,1,2,0,436.9002991,1
ET131008,1,2,0,516.1296387,1
ET131009,1,2,0,305.3334045,1
ET131010,1,2,0,360.8192139,1
ET131011,1,2,0,421.675354,1
ET131012,1,2,0,426.3578491,1
ET131013,1,2,0,461.1895142,1
ET131014,1,2,0,295.6836243,1
ET131015,1,2,0,351.1589661,1
ET131016,1,2,0,494.8778076,1
ET131017,1,2,0,634.9211426,1
ET131020,1,2,0,521.2893066,1
ET131021,1,2,0,351.1542664,1
ET131022,1,2,0,380.9283752,1
ET131023,1,2,0,387.0986328,1
ET131024,1,2,0,516.9136353,1
ET131025,1,2,0,460.8649902,1
ET131026,1,2,0,531.7209473,1
ET131027,1,2,0,400.1934204,1
ET131028,1,2,0,526.5996704,1
ET131029,1,2,0,524.46521,1
ET131030,1,2,0,558.2479858,1
ET131031,1,2,0,290.7281799,1
ET131032,1,2,0,526.2081909,1
ET131033,1,2,0,426.5496521,1
ET131034,1,2,0,474.9588623,1
ET131035,1,2,0,480.5631104,1
ET131036,1,2,0,287.8575745,1
ET131037,1,2,0,549.3846436,1
ET131038,1,2,0,348.58078,1
ET131039,1,2,0,302.3736267,1
ET131040,1,2,0,319.430481,1
ET131041,1,2,0,498.5333252,1
ET131042,1,2,0,415.9699402,1
ET131043,1,2,0,358.0560608,1
ET131044,1,2,0,532.4624023,1
ET131045,1,2,0,455.0510864,1
ET131046,1,2,0,558.8889771,1
ET131047,1,2,0,331.3038635,1
ET131048,1,2,0,314.9284058,1
ET131049,1,2,0,382.6271667,1
ET131050,1,2,0,506.8275146,1
ET141001,1,2,0,471.164093,1
ET141002,1,2,0,504.2666321,1
ET141004,1,2,0,365.3209839,1
ET141005,1,2,0,463.4949646,1
ET141006,1,2,0,375.8015137,1
ET141007,1,2,0,474.5374756,1
ET141008,1,2,0,531.8321533,1
ET141009,1,2,0,563.7293701,1
ET141010,1,2,0,514.7085571,1
ET141011,1,2,0,508.9227905,1
ET141012,1,2,0,439.3175049,1
ET141013,1,2,0,565.6821289,1
ET141014,1,2,0,652.0976563,1
ET141015,1,2,0,508.0649109,1
ET141016,1,2,0,655.6343384,1
ET141017,1,2,0,501.2903137,1
ET141018,1,2,0,439.161499,1
ET141019,1,2,0,518.381897,1
ET141020,1,2,0,442.9146729,1
ET141021,1,2,0,442.3085938,1
ET141022,1,2,0,277.0832214,1
ET141023,1,2,0,521.2801514,1
ET141024,1,2,0,390.1991272,1
ET141025,1,2,0,456.2329712,1
ET141026,1,2,0,437.1184387,1
ET141028,1,2,0,549.6029053,1
ET141029,1,2,0,563.0192261,1
ET141030,1,2,0,456.160614,1
ET141031,1,2,0,610.000061,1
ET141032,1,2,0,609.0551147,1
ET141033,1,2,0,537.6290283,1
ET141034,1,2,0,392.2937622,1
ET141035,1,2,0,518.425354,1
ET141036,1,2,0,576.5801392,1
ET141037,1,2,0,538.713562,1
ET141038,1,2,0,455.4818115,1
ET141039,1,2,0,517.2163696,1
ET141040,1,2,0,381.4812317,1
ET141041,1,2,0,499.0708923,1
ET141042,1,2,0,340.7817383,1
ET141043,1,2,0,484.9655457,1
ET141044,1,2,0,432.1742249,1
ET141045,1,2,0,431.4225769,1
ET141046,1,2,0,405.6009521,1
ET141047,1,2,0,500.8479004,1
ET141048,1,2,0,424.9096985,1
ET141049,1,2,0,503.3500671,1
ET141050,1,2,0,422.9002686,1
ET151002,1,2,0,395.9284973,1
ET151004,1,2,0,385.0208435,1
ET151010,1,2,0,629.0474854,1
ET151012,1,2,0,424.6390686,1
ET151014,1,2,0,420.174469,1
ET151015,1,2,0,387.5588989,1
ET151016,1,2,0,451.6389771,1
ET151019,1,2,0,322.7149963,1
ET151020,1,2,0,447.2435303,1
ET151021,1,2,0,402.20755,1
ET151023,1,2,0,407.7203064,1
ET151024,1,2,0,390.8522034,1
ET151025,1,2,0,466.3250122,1
ET151026,1,2,0,385.4334717,1
ET151027,1,2,0,341.0848389,1
ET151028,1,2,0,423.0157776,1
ET151029,1,2,0,355.4039001,1
ET151030,1,2,0,443.4084473,1
ET151033,1,2,0,490.9028931,1
ET151034,1,2,0,299.7500916,1
ET151035,1,2,0,529.4968262,1
ET151039,1,2,0,227.7772675,1
ET151041,1,2,0,427.5092773,1
ET151042,1,2,0,371.6028442,1
ET151043,1,2,0,403.9904175,1
ET151044,1,2,0,464.8650208,1
ET151045,1,2,0,558.1893921,1
ET151051,1,2,0,400.3901672,1
ET151052,1,2,0,350.7803345,1
ET151053,1,2,0,637.6758423,1
ET151054,1,2,0,355.8756104,1
ET151056,1,2,0,442.336853,1
ET151057,1,2,0,347.2605896,1
ET151058,1,2,0,348.4829712,1
ET151059,1,2,0,242.2245636,1
ET151064,1,2,0,371.6660156,1
ET151066,1,2,0,546.2495117,1
ET151067,1,2,0,333.0601196,1
