childid,round,yc,theta_eap,read_score,country,group,language
ET071002,4,0,-0.590389013,-0.454909921,1,3,1
ET071015,4,0,-0.527176023,-0.383668363,1,3,1
ET071032,4,0,0.447609991,0.714923561,1,3,1
ET071035,4,0,-1.881289959,-1.909766078,1,3,1
ET071036,4,0,0.464655012,0.734133482,1,3,1
ET071038,4,0,-1.252159953,-1.200731277,1,3,1
ET071040,4,0,-1.394940019,-1.361645579,1,3,1
ET071048,4,0,0.00205865,0.212783515,1,3,1
ET091029,4,0,-0.378529996,-0.216143057,1,3,1
ET101005,4,0,-0.230004996,-0.048754148,1,3,1
ET101025,4,0,-0.133936003,0.059516404,1,3,1
ET101032,4,0,0.013864,0.226088241,1,3,1
ET101038,4,0,-0.346073002,-0.179563761,1,3,1
ET101040,4,0,-0.412223011,-0.254115373,1,3,1
ET101047,4,0,-0.052368701,0.151443437,1,3,1
ET111024,4,0,-1.046749949,-0.9692325,1,3,1
ET121001,4,0,0.743665993,1.048581123,1,3,1
ET121002,4,0,0.711932003,1.012816668,1,3,1
ET121004,4,0,0.349135011,0.603941441,1,3,1
ET121005,4,0,0.104826003,0.328603178,1,3,1
ET121007,4,0,-0.198441997,-0.013182388,1,3,1
ET121008,4,0,-0.091591299,0.107239239,1,3,1
ET121010,4,0,0.797689974,1.109466672,1,3,1
ET121011,4,0,0.154524997,0.384614348,1,3,1
ET121012,4,0,-0.569858015,-0.431771338,1,3,1
ET121013,4,0,1.137920022,1.492908716,1,3,1
ET121014,4,0,-1.141600013,-1.076129317,1,3,1
ET121015,4,0,0.0185245,0.231340662,1,3,1
ET121020,4,0,0.784865022,1.095012784,1,3,1
ET121021,4,0,0.135929003,0.363656521,1,3,1
ET121022,4,0,-1.669659972,-1.671257257,1,3,1
ET121023,4,0,-0.199423,-0.014287986,1,3,1
ET121024,4,0,-0.297351986,-0.12465477,1,3,1
ET121026,4,0,-1.657709956,-1.657789469,1,3,1
ET121027,4,0,-1.723180056,-1.731574893,1,3,1
ET121028,4,0,-0.718335986,-0.599107265,1,3,1
ET121031,4,0,0.059962999,0.278042197,1,3,1
ET121033,4,0,1.018429995,1.358242512,1,3,1
ET121034,4,0,-0.566141009,-0.427582234,1,3,1
ET121037,4,0,0.619854987,0.9090451,1,3,1
ET121038,4,0,-0.0298783,0.176790297,1,3,1
ET121040,4,0,0.665392995,0.960366845,1,3,1
ET121043,4,0,0.386018991,0.645510018,1,3,1
ET121047,4,0,-0.366266012,-0.202321455,1,3,1
ET121048,4,0,1.094470024,1.443940163,1,3,1
ET121053,4,0,-1.264870048,-1.215055704,1,3,1
ET121056,4,0,1.309100032,1.685829997,1,3,1
ET131004,4,0,0.237213999,0.477805555,1,3,1
ET131032,4,0,-0.666269004,-0.540427327,1,3,1
ET131040,4,0,-1.244650006,-1.192267537,1,3,1
ET131049,4,0,0.831390023,1.147446871,1,3,1
ET141001,4,0,0.599541008,0.886151075,1,3,1
ET141002,4,0,0.093298398,0.315611452,1,3,1
ET141005,4,0,1.157240033,1.514682531,1,3,1
ET141007,4,0,0.324198991,0.575838327,1,3,1
ET141008,4,0,2.117889881,2.597342968,1,3,1
ET141009,4,0,1.249140024,1.618254542,1,3,1
ET141010,4,0,0.98032099,1.315293312,1,3,1
ET141013,4,0,1.690750003,2.11595273,1,3,1
ET141014,4,0,1.559049964,1.967525721,1,3,1
ET141016,4,0,0.756570995,1.063125253,1,3,1
ET141017,4,0,0.573086023,0.856336117,1,3,1
ET141018,4,0,-0.175971001,0.012142612,1,3,1
ET141021,4,0,-0.321141005,-0.151465192,1,3,1
ET141022,4,0,-1.027889967,-0.947977126,1,3,1
ET141026,4,0,0.35848099,0.614474475,1,3,1
ET141028,4,0,1.403020024,1.791678667,1,3,1
ET141029,4,0,1.817530036,2.258834839,1,3,1
ET141031,4,0,-0.247161999,-0.068090238,1,3,1
ET141032,4,0,0.548048973,0.828119159,1,3,1
ET141034,4,0,-0.486856014,-0.338227391,1,3,1
ET141035,4,0,0.00648322,0.21777004,1,3,1
ET141036,4,0,1.360730052,1.744017482,1,3,1
ET141039,4,0,0.750687003,1.056493878,1,3,1
ET141041,4,0,-0.946785986,-0.85657227,1,3,1
ET141042,4,0,-0.868306994,-0.768125832,1,3,1
ET141045,4,0,0.132513002,0.359806657,1,3,1
ET141046,4,0,-0.791822016,-0.681926608,1,3,1
ET141047,4,0,0.266671985,0.511004925,1,3,1
ET141049,4,0,-2.160609961,-2.22456193,1,3,1
ET151029,4,0,0.488539994,0.761052012,1,3,1
ET151044,4,0,-0.560827971,-0.421594381,1,3,1
